id,address,price,area_sqm,rooms,is_new_building,has_balcony,no_commission,has_terrace,is_furnished,is_social_housing,district
687a371ae2aca623004e4393,"Arsenalstraße 8, 1100 Wien",1705.0,50.0,2.0,0,1,1,0,1,0,1100
687a35d2e2aca623004e40af," Dr.-Adolf-Schärf-Platz 5, 1220 Wien",1645.0,46.0,2.0,0,1,1,0,1,0,1220
6730c259a7047e277dc58912,"Anni-Haider-Weg 3, 1220 Wien",1200.89,82.12,3.0,0,1,1,0,0,0,1220
679d2aac182c3abeb44dfcff,"Anni-Haider-Weg 3, 1220 Wien",1311.4,84.38,3.0,0,1,1,0,0,0,1220
68a1bc1014b48b70755576a8,"Anni-Haider-Weg 3, 1220 Wien",1007.48,60.22,2.0,0,0,1,1,0,0,1220
682afd9c4adda8e143a2cc53,"Anni-Haider-Weg 3, 1220 Wien",938.4,63.15,2.0,0,1,1,0,0,0,1220
6730c25995b4057908057f7a,"Anni-Haider-Weg 3, 1220 Wien",896.96,53.93,2.0,0,1,1,0,0,0,1220
6750c2fe74506c02c877e7bf,"Anni-Haider-Weg 3, 1220 Wien",924.58,63.15,2.0,0,1,1,0,0,0,1220
679a53aa182c3abeb4496633,"Anni-Haider-Weg 3, 1220 Wien",896.96,54.39,2.0,0,1,1,0,0,0,1220
6730c25ca7047e277dc58936,"Anni-Haider-Weg 3, 1220 Wien",952.21,54.44,2.0,0,0,1,1,0,0,1220
6730c25aa7047e277dc5891d,"Anni-Haider-Weg 3, 1220 Wien",1173.25,74.92,3.0,0,1,1,0,0,0,1220
6730c25995b4057908057f72,"Anni-Haider-Weg 3, 1220 Wien",952.21,65.1,2.0,0,0,1,1,0,0,1220
689dedc997a278b8ffa404f8,1160 Wien,1560.0,50.0,2.0,0,0,1,0,1,0,1160
66d1d6719a3ecb3195fde982,1190 Wien,1795.0,55.52,2.0,0,0,1,1,0,0,1190
67365961e80960a76a608989,1220 Wien,1999.0,77.2,4.0,0,0,1,1,0,0,1220
67543ee174506c02c87d7b90,1220 Wien,1499.0,63.54,2.5,0,0,1,1,0,0,1220
67c9680af7cc03fe08b5a6b7,1160 Wien,1471.4,84.0,3.0,0,0,1,0,0,0,1160
67cc10c7204eca2593c95f4f,"Endresstraße 94-96, 1230 Wien",1599.0,90.67,3.0,0,0,1,1,0,0,1230
67d193154e39b1d998fd4c4a,1230 Wien,1100.01,40.31,,0,0,1,1,0,0,1230
68b554bc2344e7c62ca2214c,1020 Wien,1799.0,76.47,2.0,0,0,1,0,0,0,1020
68b554bc2344e7c62ca22140,1190 Wien,1150.0,60.0,2.0,0,0,1,0,0,0,1190
67ff7e99ed81d40020daba88,"Kaasgrabengasse 6, 1190 Wien",2670.0,99.01,4.0,0,1,1,0,0,0,1190
6890b3318c9226a42436f9e2,"Kaasgrabengasse 6, 1190 Wien",2670.0,99.01,4.0,0,1,1,0,0,0,1190
67ff84149f5f64b978877b81,"Arsenalstraße 8, 1100 Wien",0.0,,,1,1,1,1,0,0,1100
689dfd5391dd4c92055f5e33,"Koloniestraße 35, 1210 Wien",0.0,,,1,0,1,1,0,0,1210
689596587848bd70310b181f,"Engerthstraße 102, 1200 Wien",0.0,,,1,1,1,1,0,0,1200
68aeaf969f41116b66f38630,"Pantzergasse, 1190 Wien",1150.0,56.05,2.0,0,0,1,0,0,0,1190
687a2519e2aca623004e1ec1,1160 Wien,1700.0,83.0,3.0,0,0,1,1,0,0,1160
67c8899bf7cc03fe08b40bc7,"Edith Kramer Weg 11, 1220 Wien",996.31,60.31,2.0,0,1,1,0,0,0,1220
67c8899bd6027a86873d6ab9,"Edith Kramer Weg 11, 1220 Wien",900.3,53.87,2.0,0,1,1,0,0,0,1220
67811627f76b41597f9e46fa,"Breitenfurter Straße 320, 1230 Wien",1760.87,95.86,3.0,0,0,1,0,0,0,1230
68a188bd14b48b707555581d,"Stumpergasse 39, 1060 Wien",4400.0,175.0,6.0,0,0,1,1,0,0,1060
68a186ef0feb394546308c00,1220 Wien,1060.01,33.0,1.0,0,0,1,0,0,0,1220
